paper,family,A3C,PPO,SAC,TRPO,TD3,DDPG,DDQN,DQN,Rainbow
A3C,a3c-outlier,1.00,0.00,0.00,0.00,0.00,0.09,0.14,0.07,0.00
PPO,on-policy,0.00,1.00,0.40,0.50,0.00,0.00,0.17,0.00,0.00
SAC,on-policy,0.00,0.40,1.00,0.40,0.00,0.00,0.14,0.00,0.00
TRPO,on-policy,0.00,0.50,0.40,1.00,0.00,0.00,0.17,0.00,0.00
TD3,replay-off-policy,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
DDPG,replay-off-policy,0.09,0.00,0.00,0.00,0.00,1.00,0.09,0.36,0.00
DDQN,replay-off-policy,0.14,0.17,0.14,0.17,0.00,0.09,1.00,0.07,0.00
DQN,replay-off-policy,0.07,0.00,0.00,0.00,0.00,0.36,0.07,1.00,0.00
Rainbow,replay-off-policy,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
