paper,family,A3C,PPO,SAC,TRPO,TD3,DDPG,DDQN,DQN,Rainbow
A3C,a3c-outlier,1.00,0.00,0.00,0.00,0.17,0.09,0.14,0.07,0.14
PPO,on-policy,0.00,1.00,0.40,0.50,0.00,0.00,0.00,0.00,0.00
SAC,on-policy,0.00,0.40,1.00,0.40,0.00,0.00,0.00,0.00,0.00
TRPO,on-policy,0.00,0.50,0.40,1.00,0.00,0.00,0.00,0.00,0.00
TD3,replay-off-policy,0.17,0.00,0.00,0.00,1.00,0.10,0.17,0.08,0.17
DDPG,replay-off-policy,0.09,0.00,0.00,0.00,0.10,1.00,0.20,0.36,0.20
DDQN,replay-off-policy,0.14,0.00,0.00,0.00,0.17,0.20,1.00,0.15,0.33
DQN,replay-off-policy,0.07,0.00,0.00,0.00,0.08,0.36,0.15,1.00,0.15
Rainbow,replay-off-policy,0.14,0.00,0.00,0.00,0.17,0.20,0.33,0.15,1.00
